Help!	बचाओ!
I cover twenty miles a day.	मैं रोज़ बीस मील चलता हूँ।
I don't believe him at all.	मैं उसका बिलकुल भी यकीन नहीं करता।
I don't care what they say.	वे जो मर्ज़ी कहें मुझे उससे कोई फ़र्क नहीं पड़ता।
I don't know what to study.	मुझे समझ में नहीं आ रहा कि क्या पढ़ूँ।
I had to decline his offer.	मुझे उसके प्रस्ताव को अस्वीकार करना पड़ा।
I sat between Tom and John.	मैं टॉम और जॉन के बीच में बैठा।
I was born on June 4, 1974.	मैं ४ जून, १९७४ को पैदा हुआ था।
I was in London last month.	मैं पिछले महीने लंदन में था।
I'd like a map of the city.	मैं शहर का नक्शा खरीदना चाहता हूँ।
I'm a good-for-nothing bum.	मैं निकम्मा हूँ।
I'm looking for an old man.	मैं एक बूढ़े आदमी की तलाश मे हूँ।
Is the mouse dead or alive?	चूहा ज़िन्दा है या मर गया है?
It hardly ever rains there.	यहाँ पर मुश्किल से कभी बारिश होती है।
It is said that he is sick.	कहा जाता है कि वह बीमार है।
It seems interesting to me.	मुझे बहुत मज़ेदार लगती है!
It seems interesting to me.	मुझे बहुत दिलचस्प लगती है!
It's raining cats and dogs.	मुसलाधार बारिश होती है।
It's raining cats and dogs.	मुसलाधार वर्षा होती है।
It's the same for everyone.	सब लोगों के लिए एक समान है।
My aunt brought me flowers.	मेरी बुआ-जी मेरे लिए फूल लाईं।
My boss will not say 'yes'.	मेरे बॉस "हाँ" नहीं कहेंगे।
Our train stopped suddenly.	हमारी ट्रेन अचानक रुक गई।
Place it wherever you like.	जहाँ भी रखना है रखदो।
She forgot to feed her dog.	वह अपने कुत्ते को खिलाना भूल गई।
She has long arms and legs.	उसके हाथ-पैर लम्बे हैं।
She is in bed with a fever.	वह बुखार के साथ बिस्तर में लेटी हुई है।
She knew the story already.	उसको कहानी पहले से ही पता थी।
She likes her school a lot.	उसे अपना स्कूल बहुत पसंद है।
She married Tom last month.	उसने पिछले महीने टॉम से शादी करी थी।
She plays tennis very well.	वह टेनिस बहुत अच्छा खेलती है।
She suddenly became famous.	वह अचानक से मशहूर बन गई।
She was crying in her room.	वह अपने कमरे में रो रही थी।
Take good care of yourself.	अपना अच्छे से ख़याल रखना।
That's really a great idea.	यह तो बहुत ही अच्छा सुझाव है।
The box he found was empty.	उसे जो डब्बा मिला वह खाली था।
The bride suddenly laughed.	दुल्हन अचानक से हँस पड़ी।
The man hit me on the head.	उस आदमी ने मुझे सर पर मारा।
The medicine tastes bitter.	इस दवाई का स्वाद बहुत कड़वा है।
The mud clung to his shoes.	उसके जूतों पर कीचड़ लगी हुई थी।
The novel is very exciting.	यह उपन्यास बहुत रोमांचक है।
The paint hasn't dried yet.	पेंट अभी तक सूखा नहीं है।
The rain continued all day.	बरसात पूरे दिन होती रही।
The water is not drinkable.	यह पानी पिया नहीं जा सकता है।
There is a bag on the desk.	मेज़ पर बस्ता रखा हुआ है।
This car was made in Japan.	यह गाड़ी जापान में बनी थी।
This is the monsoon season.	यह वर्षा ऋतु का मौसम है।
This word comes from Greek.	यह शब्द ग्रीक से आता है।
Tom and I'll both be there.	टॉम और मैं दोनों वहाँ रहेंगे।
Tom, I want to talk to you.	टॉम, मुझे तुमसे बात करनी है।
Turn off the light, please.	बत्ती बंद करदो, प्लीज़।
Turn off the light, please.	कृपया बत्ती बंद कर दीजिए।
We all laughed at his joke.	हम सब उसके मज़ाक पर हँसे।
We celebrated his birthday.	हमने उसका जन्मदिन मनाया।
We don't know where we are.	हमें नहीं पता हम कहाँ हैं।
We should keep our promise.	हमे अपना वादा निभाना चाहिए।
We voted for the candidate.	हमने उस उम्मीदवार को चुना।
We voted for the candidate.	हमने उस उम्मीदवार को अपना मत दिया।
We want complete sentences.	हमे केवल सम्पूर्ण वाक्य चाहिएँ।
We've got that figured out.	हमने उसका हिसाब लगा लिया।
What I said hurt his pride.	मेरी बात ने उसके अभिमान पर चोट पहुँचाई।
What do you call this bird?	इस पक्षी का नाम क्या है?
What happened to our order?	हमारे औरडर का क्या हुआ?
Where did all the bread go?	सारा ब्रॅड कहाँ चला गया?
Where is the changing room?	कपड़े बदलने का कमरा कहाँ पर है?
Why don't you listen to me?	तुम मेरी बात सुनते क्यों नहीं हो?
Will you turn on the light?	बत्ती चालू कर दोगे क्या?
You are always complaining.	तुम हमेशा शिकायत करते रहते हो।
You are on the wrong train.	आप गलत ट्रेन पर हैं।
A day has twenty-four hours.	एक दिन में चौबीस घंटे होते हैं।
Are you for or against this?	आप इसके हित में हैं या नहीं?
At last, we got to the lake.	हम आखिरकार झील तक पहुँच गए।
Bring your sister next time.	अगली बार अपनी बहन को भी साथ लाना।
Can you teach me how to fly?	क्या तुम मुझे उड़ना सिखा सकते हो?
Canada is larger than Japan.	कनाडा जापान से बड़ा है।
Could you speak more slowly?	थोड़ा धीरे बोल सकते हैं क्या?
Do you have any soft drinks?	तुम्हारे पास कोक-शोक है क्या?
Do you have time on Tuesday?	तुम्हारे पास मंगलवार को समय है क्या?
Do you want to go somewhere?	आपको कहीं जाना है?
Do you want to go somewhere?	तुम्हें कहीं जाना है?
Everyone felt sorry for Tom.	सब टॉम के लिए दुःखी थे I
Everyone speaks well of him.	सभी उसकी अच्छाई करते है।
France is in Western Europe.	फ़्रान्स पश्चिमी यूरोप में है।
France is in western Europe.	फ़्रान्स पश्चिमी यूरोप में है।
He closed the door suddenly.	उसने अचानक से दरवाज़ा बंद किया।
He could not breathe deeply.	वह लम्बी सांस नहीं ले पाता था।
He doesn't know how to swim.	उसको तैरना नहीं आता।
He explained the rule to me.	उसने मुझे वह नियम समझाया।
He is digging his own grave.	वह अपनी क़ब्र खोद रहा है।
He plays baseball every day.	वह हर रोज़ बेसबॉल खेलता है।
He prefers French to German.	उसे फ़्रानसीसी जर्मन से ज़्यादा अच्छी लगती है।
He read this book yesterday.	उसने यह किताब कल पढ़ी थी।
He repeated his name slowly.	उसने अपना नाम दोबारा धीरे से बोला।
He treats me like his slave.	वह मुझसे ग़ुलाम की तरह बर्ताव करता है।
He went there instead of me.	वह मेरे बजाय वहां गया।
His birthday is August 21st.	उसका जन्मदिन इक्कीस अगस्त को है।
How long will you stay here?	आप यहाँ कितने दिन रहेंगे?
I accompanied her on a walk.	मैं उसके साथ सैर के लिए गया।
I believe you like your job.	मुझे लगता है कि तुम्हे तुम्हारा काम अच्छा लगता है।
I didn't go out last Sunday.	मैं पिछले रविवार बाहर नहीं निकला था।
I don't know if he knows it.	मुझे नहीं पता कि उसको पता है कि नहीं।
I don't know what Tom knows.	मुझे नहीं पता कि टॉम को क्या पता है।
I don't know what they know.	मुझे नहीं पता कि उन्हें क्या पता है।
I explained the rule to him.	मेने उसे नियम समझाया।
I gave him what money I had.	मेरे पास जो भी पैसे थे मैंने उसे दे दिए।
I had never seen him before.	मैंने उसे पहले कभी नहीं देखा था।
I have already done my work.	मैं अपना काम कर चुका हूँ।
I have just cleaned my room.	मैंने अपना कमरा अभी अभी साफ़ किया है।
I have seen her three times.	मैंने उसे तीन बार देखा है।
I have to answer his letter.	मुझे उसकी चिट्ठी का जवाब देना है।
I met your father yesterday.	मैं कल तुम्हारे पिताजी से मिला।
I prefer walking to cycling.	मुझे सायकल चलाना चलने से ज़्यादा पसंद है।
I saw him crossing the road.	मैंने उसे सड़क पार करते हुए देखा।
I was born in Osaka in 1977.	मेरा जन्म सन १९७७ में ओसाका में हुआ था।
I will call on him tomorrow.	मैं कल उससे मिलने जाऊँगा।
I'll be on duty this Sunday.	मैं इस रविवार को ड्यूटी पर हूँगा।
I'm sorry, my father is out.	माफ़ कीजिएगा, मेरे पापा अभी घर पर नहीं हैं।
Insert it wherever you like.	जहाँ भी घुसाना है घुसादो।
Iron is a very useful metal.	लोहा एक बहुत उपयोगी धातु है।
Is Spanish spoken in Mexico?	मेक्सिको में स्पैनिश बोली जाती है क्या?
Is it about ten million yen?	तकरीबन दस एक अरब येन होंगे?
Is it hard to speak English?	अंग्रेज़ी बोलना मुश्किल होता है क्या?
It is a sheer waste of time.	यह सरासर समय की बर्बादी है।
It was easy for me to do so.	यह मेरे लिए करना बहुत आसान था।
It was too difficult for me.	वह मेरे लिए बहुत कठिन था।
It's like a dream come true.	मानो कोई सपना सच आ गया हो।
Let's cut down our expenses.	हमें अपने खर्चे कम करने होंगे।
Mary loves going to the spa.	मेरी को स्पा जाना पसंद है।
My father is going to China.	मेरे पिता चीन जा रहे हैं।
My jeans shrank in the wash.	मेरी जीन्स पैंट धुलाई में सिकुड़ गई।
No answer is also an answer.	जवाब न देना भी एक तरह का जवाब होता है।
No one can move the big box.	उस बड़े डब्बे को कोई भी नहीं हिला सकता।
Nobody answered my question.	किसी ने भी मेरे सवाल का जवाब नहीं दिया।
Nobody else offered to help.	किसी और ने मदद करने की इच्छा प्रकट नहीं करी।
Please give me a cup of tea.	मुझे एक कप चाय दीजिए।
Please speak in a low voice.	कृपया धीमी आवाज़ में बात कीजिए।
Please speak in a low voice.	कृपया हल्की आवाज़ में बात कीजिए।
See what's going on outside.	देखो बाहर क्या हो रहा है।
She allowed him to go alone.	उसने उसको अकेले जाने दिया।
She declined the invitation.	उसने आमंत्रण को स्वीकार नहीं किया।
She dialed the wrong number.	उसने गलत नम्बर मिला डाला।
She said that she was happy.	उसने कहा कि वह खुश थी।
She saved a hundred dollars.	उसने सौ डॉलर बचा लिए।
She was robbed of her purse.	उसका पर्स उससे चुरा लिया गया।
She wears her hair in a bun.	वह अपने बालों को जूड़े में बाँधती है।
Smoking is not allowed here.	यहाँ धूम्रपान करना मना है।
Soldiers are used to danger.	सिपाहियों को खतरे से खेलने की आदत होती है।
Someone knocked on the door.	किसी ने दरवाज़े पर खटखटाया।
Spanish is spoken in Mexico.	मेक्सिको में स्पैनिश बोली जाती है।
Speaking English isn't easy.	अंग्रेज़ी बोलना आसान नहीं है।
Stand still and keep silent.	शांति से खड़े रहो।
Take off your socks, please.	अपने मोज़े उतारिए।
Ten houses were burned down.	दस घर जलकर राख हो गए।
Thank you for the other day.	उस दिन के लिए बहुत बहुत धन्यवाद।
Thank you very much, doctor.	डॉक्टर साहब, आपका बहुत बहुत धन्यवाद।
That town is two miles away.	वह नगर दो मील दूर है।
That town is two miles away.	वह नगर दो मील की दूरी पर है।
The Japanese have dark eyes.	जापानियों की आँखें कालीं होतीं हैं।
The hot water isn't running.	गरम पानी नहीं चल रहा है।
The room smelled of tobacco.	कमरे में तम्बाकू की महक थी।
The store is not open today.	दुकान आज बंद है।
The store is not open today.	दुकान आज खुली नहीं है।
There is a book on the desk.	मेज़ पर किताब है।
They are both good teachers.	वे दोनों अच्छे अध्यापक हैं।
This house has eleven rooms.	इस मकान में ग्यारह कमरे हैं।
This must be a real diamond.	यह असली हीरा होगा।
Today I turn four years old.	आज मैं चार साल का हो गया हूँ।
Tom isn't able to drive yet.	टॉम अभी गाड़ी नहीं चला सकता।
Tom saved her from the fire.	टॉम ने उसे आग से बचा लिया।
Try to improve your English.	अपनी अंग्रेज़ी सुधारने की कोशिश करो।
We drink our tea with sugar.	हम चाय चीनी के साथ लेते हैं।
We drink our tea with sugar.	हम चाय चीनी डालकर पीते हैं।
We really enjoyed ourselves.	हमने बड़ी मौज करी।
We were next-door neighbors.	हम पड़ोसी हुआ करते थे।
What have you come here for?	तुम यहाँ क्यों आए हो?
What have you come here for?	आप लोग यहाँ क्या करने के लिए आए हैं?
Where is the south terminal?	दक्षिण टर्मिनल कहाँ पर है?
Where would you like to sit?	आप कहाँ बैठना चाहेंगे?
Why don't you come visit us?	तुम हमसे मिलने क्यों नहीं आते?
Would you like to go abroad?	तुम विदेश जाना चाहती हो क्या?
You are not coming, are you?	तुम नहीं आ रहे हो ना?
You look nice in that dress.	तुम उस ड्रेस में अच्छी लगती हो।
Always keep your office tidy.	अपने दफ़्तर को हमेशा साफ़-सुथरा रखना चाहिए।
Are they Japanese or Chinese?	वे जापानी हैं या चीनी?
Are you meeting someone here?	तुम यहाँ किसी से मिल रहे हो क्या?
Brush your teeth after meals.	खाना खाने के बाद दाँतों को साफ़ करो।
Brush your teeth after meals.	खाना खाने के बाद दाँतों को ब्रश करो।
Correct the underlined words.	रेखांकित शब्दों को सुधारिए।
Do you have any tickets left?	तुम्हारे पास टिकटें बचीं हैं क्या?
Do you have to make a speech?	तुम्हे भाषण देना होगा क्या?
Do you know what he has done?	क्या आपको पता है उसने क्या किया है?
Don't force the child to eat.	बच्चे को ज़बरदस्ती मत खिलाओ।
Don't lean against this wall.	इस दीवार पर मत झुँको।
English is spoken in America.	अमेरिका में अंग्रेजी बोली जाती है।
Football is my favorite game.	फ़ुटबॉल मेरा सबसे पसंदीता खेल है।
Have you ever been to Africa?	तुम कभी अफ़्रीका गए हुए हो क्या?
Have you ever been to Africa?	आप कभी अफ़्रीका गए हुए हैं क्या?
Have you ever been to Canada?	तुम कभी कनाडा गए हो क्या?
Have you ever written a book?	आपने कभी किताब लिखी है क्या?
Have your roses come out yet?	तुम्हारे गुलाब खिल गए हैं क्या?
He came to see you yesterday.	वह कल तुमसे मिलने आया था।
He changed schools last year.	उसने पिछले साल स्कूल बदला था।
He doesn't have long to live.	उसके पास जीने के लिए ज़्यादा समय नहीं है।
He eats lunch at a cafeteria.	वह कैनटीन में लन्च खाता है।
He is good at playing tennis.	वह टेनिस अच्छा खेलता है।
He pulled his son by the ear.	उसने अपने बेटे को कान से पकड़ कर खींचा।
He set fire to his own house.	उसने अपने ही घर को आग लगा दी।
He wants these shirts washed.	उसे ये कमीज़ें धुलवानीं हैं।
He wishes to become a doctor.	उसकी डॉक्टर बनने की अभिलाषा है।
He's out of town on business.	वे काम से शहर से बाहर गए हुएँ हैं।
His clothes always smell bad.	उसके कपड़े हमेशा बदबू करतें हैं।
His long speech bored us all.	उसका लम्बा भाषण सुनकर हम सब बोर हो गए।
How did you come to know her?	तुम उसे कैसे जानते थे?
I advise you to stop smoking.	मेरे ख़याल से तुम्हे सिगरेट पीना छोड़ देना चहिए।
I advise you to stop smoking.	मैं तुम्हे सिगरेट पीना छोड़ देने की सलाह देना चाह्ता हूँ।
I agree with you to a degree.	मैं तुम्हारे साथ एक हद तक सहमत हूँ।
I am more beautiful than you.	मैं तुमसे ज़्यादा खूबसूरत हूँ।
I am more beautiful than you.	मैं तुमसे ज़्यादा सुंदर हूँ।
I am pleased with the result.	मैं नतीजे से खुश हूँ।
I bought two bottles of milk.	मैंने दूध की दो बोतलें ख़रीदीं।
I can't allow you to do that.	मैं तुम्हें यह करने नहीं दे सकता।
I can't really talk about it.	मैं उस बारे में कुछ बोल नहीं सकता।
I didn't want this to happen.	मैं नहीं चाहता था कि ऐसा हो।
I don't feel like eating now.	मुझे अभी खाना खाने का मन नहीं है।
I don't like to drink coffee.	मुझे कॉफ़ी पीना पसंद नहीं।
I followed the deer's tracks.	मैंने हिरण के पैरों के निशानों का पीछा किया।
I gave up smoking for a year.	मैंने एक साल के लिए सिगरेट पीना छोड़ दिया था।
I have a bad pain in my back.	मुझे पीठ में बुरी तरह से दर्द हो रहा है।
I informed her of my success.	मैंने उसको अपनी कामयाबी के बारे में बताया।
I like both science and math.	मुझे विज्ञान और गणित दोनों पसंद हैं।
I mentioned your name to him.	मैंने उसके साथ तुम्हारा नाम लिया था।
I was laughed at by everyone.	सब लोग मुझपर हँसे।
I went there dozens of times.	मैं वहाँ दसियों बार जा चुका हूँ।
I worked on the farm all day.	मैंने पूरे दिन खेत में काम किया।
I'm anxious about his safety.	मैं उसकी सुरक्षा के लिए परेशान हूँ।
I'm catching the 11:00 train.	मैं ग्यारह बजे की ट्रेन पकड़ रहा हूँ।
It appears that he is honest.	वह ईमानदार लगता है।
It was her fate to die young.	छोटी उम्र में मरना उसके भाग्य में था।
It's an answer to her letter.	यह उसकी चिट्ठी का जवाब है।
It's no use arguing with him.	उससे बहस करने में कोई फ़ायदा नहीं है।
Keep down, or you'll be shot.	नीचे रहो, नहीं तो तुम्हें गोली लग जाएगी।
Most people like watching TV.	ज़्यादातर लोगों को टीवी देखना अच्छा लगता है।
My brother has a good memory.	मेरे भाई की याददाश्त अच्छी है।
My father has just come home.	मेरे पापा अभी अभी घर वापस आएँ हैं।
My grandmother speaks slowly.	मेरी नानी धीरे-धीरे बोलतीं हैं।
My hobby is collecting coins.	सिक्कों को इकट्ठा करना मेरा शौक है।
My telephone is out of order.	मेरा फ़ोन खराब है।
Now they have three children.	अब उनके तीन बच्चे हैं।
One language is never enough.	एक भाषा कभी काफ़ी नहीं होती।
Please make yourself at home.	इसको अपना घर ही समझो।
Please make yourself at home.	इसको अपना घर ही समझिए।
Please show me your notebook.	मुझे अपनी कौपी दिखाईए।
Please wait for five minutes.	कृपया पाँच मिनट इंतेज़ार करें।
Say which one you would like.	बोलो तुम्हे कौनसा चाहिए।
Seicho Matumoto died in 1992.	सेइचो मात्सुमोतो का निधन सन १९९२ में हुआ।
She died yesterday afternoon.	उनकी मौत कल दोपहर को हुई थी।
She will be back before long.	वह थोड़ी देर में ही वापस आ जाएगी।
Stop beating around the bush.	घूमफिरकर बात मत करो, सीधे-सीधे बोलो।
Tea is widely grown in India.	चाय भारत में बहुत उगाई जाती है।
That is no business of yours.	इसका तुमसे कोई लेना-देना नहीं है।
That's because you're a girl.	इसलिए क्योंकि तुम लड़की हो।
The apple has begun to decay.	वह सेव सड़ने लगा है।
The capital of Italy is Rome.	इटली की राजधानी रोम है।
The car hit a telephone pole.	गाड़ी फ़ोन के खम्बे से जाकर भिड़ पड़ी।
The cliff is almost vertical.	चट्टान लगभग बिलकुल सीधी है।
The girl did nothing but cry.	उस लड़की ने रोने के अलावा और कुछ नहीं किया।
The horse is a useful animal.	घोड़ा बड़े काम का जानवर है।
The king crushed his enemies.	राजा ने अपने दुश्मनों को कुचल दिया।
The monkey climbed up a tree.	बंदर पेड़ पर चढ़ा।
The population is increasing.	आबादी बढ़ रही है।
The population is increasing.	जनसंख्या बढ़ रही है।
The ship set sail for Bombay.	जहाज़ बमबई के लिए रवाना हुआ।
The train ran off the tracks.	ट्रेन पटरी से उतर गई।
There is a desk in this room.	इस कमरे में मेज़ है।
They abandoned their country.	उन्होंने अपने देश को त्याग दिया।
They are talking about music.	वे संगीत के बारे में बात कर रहे हैं।
They resolved to work harder.	उन्होंने ज़्यादा मेहनत से काम करने का इरादा किया।
This was Rodica's fifth book.	यह रोडिका की पाँचवी किताब थी।
Wash your hands before meals.	खाना खाने से पहले अपने हाथ धोओ।
We should love our neighbors.	हमे पड़ोसियों के साथ प्रेमपूर्वक रहना चहिए।
What she says sounds strange.	उसकी कही हुई बात अजीब लगती है।
When are you going to Europe?	तुम यूरोप कब जा रहे हो?
When did the accident happen?	हादसा कब हुआ?
When did the accident happen?	घटना कब हुई?
Won't you join us for dinner?	हमारे साथ (रात का) खाना खाएँगे ना?
You didn't tell him anything?	तुमने उसे कुछ भी नहीं बताया?
You must send for the doctor.	तुम्हें डॉक्टर बुलाना होगा।
Are you interested in flowers?	तुम्हें फूलों में दिलचस्पी है क्या?
Can you teach me how to steal?	क्या तुम मुझे चोरी करना सिखा सकते हो?
Could I please use your phone?	मैं आपका फ़ोन इस्तेमाल कर सकता हूँ क्या?
Do you live with your parents?	क्या तुम अपने मम्मी-पापा के साथ रहते हो?
Do you remember what she said?	तुम्हें याद है उसने क्या कहा था?
Don't go back on your promise.	अपना वादा मत तोड़ो।
Excuse me, is this seat taken?	माफ़ कीजिएगा, यहाँ कोई बैठा हुआ है क्या?
Few people live on the island.	इस द्वीप पर बहुत कम लोग रहते हैं।
Half of the apples are rotten.	आधे सेव सड़ चुके हैं।
He concealed the fact from me.	उसने मुझसे वह बात छिपाई।
He did it as he had been told.	उसने वैसा करा जैसे उसे बताया गया था।
He is accustomed to hard work.	उसे मेहनत करने की आदत है।
He looked into the boy's eyes.	उसने लड़के की आँखों में देखा।
He made many costly purchases.	उसने बहुत सी महंगी चीज़ें खरीदीं।
He spread butter on the bread.	उसने मक्खन को ब्रेड पर लगाया।
He took advantage of my youth.	उसने मेरे जवान होने का फ़ायदा उठाया।
He took advantage of my youth.	उसने मेरी जवानी का फ़ायदा उठाया।
He was walking toward the sea.	वह समुंदर की ओर चल रहा था।
He went to New York on Monday.	वह सोमवार को न्यूयॉर्क चला गया।
He will return within 3 hours.	वह तीन घंटों में वापस आएगा।
How about going to the movies?	फ़िल्म देखने चलें क्या?
How long have you been abroad?	आप विदेश में कबसे हैं?
How long have you been abroad?	आप विदेश में किता समय रहे हैं?
How was the weather yesterday?	कल का मौसम कैसा था?
I accompanied him on the trip.	मैं सफ़र पर उसके साथ गया।
I am sorry if I disturbed you.	माफ़ कीजिएगा अगर मैंने आपको परेशान किया तो।
I can't bear the sight of him.	मुझे उसको देखा नहीं जाता।
I can't put up with this cold.	मुझसे यह ठंड सही नहीं जाएगी।
I don't go to work on Sundays.	मैं रविवार को काम पर नहीं जाता।
I don't know if she will come.	मुझे नहीं पता कि वह आएगी कि नहीं।
I don't think it's reasonable.	मेरे विचार से यह युक्तियुक्त नहीँ है।
I don't watch much basketball.	मैं ज्यादा बास्‍केटबॉल नहीं देखता।
I felt that I should help her.	मुझे लगा कि मुझे उसकी मदद करनी चाहिए।
I have no idea how he escaped.	मुझे नहीं पता वह कैसे निकल भागा।
I have not seen him in months.	मैंने उसे महीनों से नहीं देखा है।
I have to put the baby to bed.	मुझे बच्चे को सुलाना है।
I hope that it rains tomorrow.	काश कल बारिश हो जाए।
I take a bath every other day.	मैं हर दूसरे दिन नहाता हूँ।
I was caught in a traffic jam.	मैं ट्राफ़िक जाम में फँस गया था।
I was caught in a traffic jam.	मैं ट्रैफ़िक जैम में फँस गया था।
I will be pleased to help you.	मुझे आपकी मदद करके खुशी होगी।
I will go to America tomorrow.	मैं कल अमेरिका जाऊँगी।
I'm sure I've seen him before.	मुझे यकीन है कि मैंने उसे पहले देखा हुआ है।
I'm thinking of changing jobs.	मैं नौकरी बदलने की सोच रही हूँ।
It's four o'clock by my watch.	मेरी घड़ी के हिसाब से चार बजे हैं।
Man can't live without dreams.	इनसान सपने देखे बिना जी नहीं सकता है।
Playing tennis is easy for me.	मेरे लिए टेनिस खेलना बहुत आसान है।
Please feed the dog every day.	कुत्ते को रोज़ खिलाईएगा।
Please turn on the television.	टीवी चालू कीजिए।
School begins at eight-thirty.	स्कूल साढ़े-आठ बजे शुरू होता है।
She forgot to mail the letter.	वह चिट्ठी को डाक में डालना भूल गई।
She forgot to mail the letter.	वह चिट्ठी को डाक करना भूल गई।
She is not afraid of anything.	वह किसी भी चीज़ से नहीं डरती है।
She is not afraid of anything.	उसे किसी भी चीज़ का डर नहीं है।
She thought for a few minutes.	उसने कुछ मिनटों के लिए सोचा।
The flowers have all withered.	सारे फूल मुरझा गए हैं।
The king governed the country.	राजा की देश पर हुकूमत थी।
The patient breathed his last.	रोगी ने अपनी आखरी साँस भरी।
The ship is bound for Finland.	यह जहाज़ फ़िनलैंड के लिए रवाना है।
The vase was broken to pieces.	गुलदान टूट कर चूर-चूर हो गया।
The war is going in our favor.	जंग हमारे हित में जा रहा है।
There is a cat under the desk.	मेज़ के नीचे एक बिल्ली है।
There is no future in his job.	उसकी नौकरी का कोई भविष्य नहीं है।
They consider him intelligent.	वे उसे समझदार मानते हैं।
They have no house to live in.	उनके पास रहने के लिए कोई घर नहीं है।
They must have made a mistake.	उनसे ग़लती हो गई होगी।
This box contains five apples.	इस डब्बे में पाँच सेव हैं।
This problem is hard to solve.	इस समस्या को सुलझाना बहुत कठिन है।
This river is one mile across.	यह नदी एक मील चौड़ी है।
This rule applies to you, too.	यह नियम तुमपर भी लागु होता है।
This school has many students.	इस स्कूल में बहुत सारे विद्यार्थी हैं।
Today is my sister's birthday.	आज मेरी बहन का जन्मदिन है।
Today is my sister's birthday.	आज मेरी दीदी का जन्मदिन है।
We were surprised at the news.	हम खबर सुनकर चौंक गए।
What is done cannot be undone.	होनी को अनहोनी नहीं किया जा सकता।
What is done cannot be undone.	जो हो चुका है सो हो चुका है।
What is the name of this bird?	इस चिड़िया का नाम क्या है?
What kind of work will you do?	तुम किस तरह का काम करोगे?
What's your home phone number?	तुम्हारे घर का फ़ोन नम्बर क्या है?
When do you usually go to bed?	तुम आमतौर पर कितने बजे सोते हो ?
Who was the letter written to?	पत्र किसको लिखा गया था?
Why didn't she come yesterday?	वह कल क्यों नहीं आई?
You cannot park your car here.	आप अपनी गाड़ी यहाँ खड़ी नहीं कर सकते।
You may sit down on the chair.	तुम कुरसी पर बैठ सकते हो।
Your team is better than ours.	आपका दल हमसे बेहतर है |
"What time is it?" "It's 3:20."	"अभी कितने बजे हैं?" "तीन बीस बजे हैं"
A fire broke out near my house.	मेरे घर के पड़ोस में आग लग गई थी।
Are you going to ask me or not?	मुझसे पूछने वाले हो या नहीं?
Both he and his wife have cars.	वह और उसकी पत्नी दोनो के पास गाड़ियाँ हैं।
Both of my sisters are married.	मेरी दोनो बहनें शादीशुदा हैं।
Business is so slow these days.	कारोबार में आजकल मंदी पड़ गई है।
Can I have the key now, please?	मुझे अब चाबी मिल सकती है क्या?
Dad is shaving in the bathroom.	पापा बाथरूम में दाढ़ी बना रहे हैं।
Did he come by bus or by train?	वो बस से आया था कि ट्रेन से?
Do you have a room of your own?	क्या तुम्हारे पास अपना खुद का कमरा है?
Do you have one that's cheaper?	इससे सस्ता वाला है क्या?
Do you know how to drive a car?	क्या आपको गाड़ी चलाना आता है?
Do you know how to drive a car?	क्या तुमको गाड़ी चलाना आता है?
Do you know how to drive a car?	क्या तुम्हें गाड़ी चलाना आता है?
Does anyone here speak English?	यहाँ पर कोई अंग्रेज़ी बोलता है क्या?
English is spoken in Australia.	आस्ट्रेलिया में अंग्रेजी बोली जाती है।
Excuse me, but can you help me?	माफ़ कीजिएगा, आप मेरी मदद कर सकते हैं क्या?
Few people know about the plan.	योजना के बारे में कुछ ही लोगों को पता है।
Fighting won't settle anything.	लड़ने-झगड़ने से बात का हल नहीं होगा।
Flying a kite can be dangerous.	पतंग उड़ाना खतरनाक हो सकता है।
Give me your attention, please.	कृपया ध्यान दीजिए।
He has blue eyes and fair hair.	उसकी नीली आखें हैं और गोरे बाल हैं।
He is anxious about the result.	वह नतीजे के लिए बेचैन है।
He took a picture of the koala.	उसने कोआले की तस्वीर खींची।
He walks his dog every morning.	वह हर सुबह अपने कुत्ते को सैर पर ले जाता है।
His absence was due to illness.	वह बीमारी की वजह से नहीं आ सका।
His behavior is very odd today.	उसका बर्ताव आज बहुत अजीब है।
How do you interpret this poem?	इस कविता क्या आप क्या अर्थ निकालते हैं?
How do you interpret this poem?	इस कविता का तुम क्या मतलब निकालते हो?
How do you like your eggs done?	तुम्हे अपने अँडे कैसे पसंद हैं?
I am thinking of changing jobs.	मैं नौकरी बदलने की सोच रही हूँ।
I bet five pounds on the horse.	मैंने उस घोड़े पर पाँच पाऊंड की बाज़ी लगाई।
I did it the way he told me to.	उसने जैसे बताया था मैंने वैसे किया।
I don't know when he will come.	मुझे नहीं पता वह कब आएगा।
I have a bone to pick with you.	मैं तुमसे खुश नहीं हूँ।
I have not seen him since then.	मैंने उसे तबसे नहीं देखा है।
I left the keys with my wallet.	मैंने चाबियों को अपने बटुए के साथ छोड़ दिया।
I motioned for her to sit down.	मैंने उससे बैठ जाने का इशारा किया।
I must have left it on the bus.	मैंने उसे बस में छोड़ दिया होगा।
I take a bath almost every day.	मैं लगभग हर रोज़ नहाता हूँ।
I want to have a cup of coffee.	मुझे एक कप कॉफ़ी चाहिए।
I will give you a large folder.	मैं तुम्हें एक बड़ा फ़ोलडर दूँगा।
